Measurement label:,Left,
Configuration date:,2018. 8. 2. 오후 1:54:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-0.196391602,0.450263672,9.915380859
-0.20597168,0.613125,9.776469727
-0.25387207,0.574804688,9.843530273
-0.234711914,0.311352539,9.968071289
-0.234711914,0.316142578,9.934541016
-0.244291992,0.51253418,9.833950195
-0.210761719,0.51253418,9.857900391
-0.201181641,0.402363281,9.762099609
-0.20597168,0.435893555,9.790839844
-0.191601563,0.498164063,9.829160156
-0.177231445,0.546064453,9.742939453
-0.258662109,0.474213867,9.901010742
-0.220341797,0.292192383,9.905800781
-0.234711914,0.435893555,9.824370117
-0.258662109,0.531694336,9.838740234
-0.220341797,0.522114258,9.91059082
-0.191601563,0.397573242,9.896220703
-0.201181641,0.474213867,9.795629883
-0.229921875,0.570014648,9.920170898
-0.25387207,0.464633789,9.781259766
-0.158071289,0.387993164,9.848320313
-0.268242188,0.402363281,9.752519531
-0.225131836,0.387993164,9.891430664
-0.220341797,0.493374023,9.915380859
-0.225131836,0.493374023,9.752519531
-0.229921875,0.541274414,9.881850586
-0.229921875,0.522114258,9.786049805
-0.215551758,0.541274414,9.805209961
-0.239501953,0.416733398,9.805209961
-0.239501953,0.440683594,9.848320313
-0.215551758,0.373623047,9.824370117
-0.196391602,0.440683594,9.805209961
-0.215551758,0.421523438,9.833950195
-0.215551758,0.522114258,9.867480469
-0.201181641,0.507744141,9.948911133
-0.225131836,0.45984375,9.819580078
-0.215551758,0.479003906,9.838740234
-0.20597168,0.421523438,9.838740234
-0.148491211,0.340092773,9.872270508
-0.220341797,0.483793945,9.819580078
-0.201181641,0.517324219,9.81
-0.20597168,0.517324219,9.857900391
-0.229921875,0.479003906,9.824370117
-0.210761719,0.502954102,9.824370117
-0.287402344,0.469423828,9.814790039
-0.186811523,0.479003906,9.901010742
-0.249082031,0.45984375,9.881850586
-0.20597168,0.464633789,9.886640625
-0.229921875,0.464633789,9.867480469
-0.191601563,0.507744141,9.814790039
-0.196391602,0.517324219,9.848320313
-0.25387207,0.498164063,9.857900391
-0.215551758,0.445473633,9.886640625
-0.234711914,0.435893555,9.872270508
-0.201181641,0.40715332,9.805209961
-0.225131836,0.464633789,9.800419922
-0.186811523,0.507744141,9.872270508
-0.182021484,0.502954102,9.833950195
-0.220341797,0.493374023,9.795629883
-0.249082031,0.483793945,9.833950195
-0.210761719,0.421523438,9.766889648
-0.220341797,0.440683594,9.881850586
-0.201181641,0.435893555,9.877060547
-0.172441406,0.522114258,9.833950195
-0.20597168,0.517324219,9.805209961
-0.182021484,0.522114258,9.901010742
-0.191601563,0.455053711,9.867480469
-0.301772461,0.435893555,9.838740234
-0.215551758,0.45984375,9.790839844
-0.210761719,0.45984375,9.819580078
-0.20597168,0.435893555,9.843530273
-0.20597168,0.483793945,9.833950195
-0.167651367,0.536484375,9.762099609
-0.162861328,0.493374023,9.891430664
-0.210761719,0.493374023,9.824370117
-0.239501953,0.402363281,9.848320313
-0.249082031,0.445473633,9.934541016
-0.201181641,0.464633789,9.833950195
-0.186811523,0.469423828,9.96328125
-0.249082031,0.517324219,9.819580078
-0.225131836,0.502954102,9.857900391
-0.177231445,0.488583984,9.867480469
-0.258662109,0.522114258,9.886640625
-0.201181641,0.431103516,9.771679688
-0.210761719,0.464633789,9.848320313
-0.234711914,0.498164063,9.848320313
-0.201181641,0.426313477,9.795629883
-0.215551758,0.502954102,9.853110352
-0.234711914,0.498164063,9.790839844
-0.182021484,0.469423828,9.838740234
-0.215551758,0.421523438,9.86269043
-0.273032227,0.426313477,9.901010742
-0.244291992,0.445473633,9.867480469
-0.225131836,0.464633789,9.833950195
-0.210761719,0.526904297,9.86269043
-0.201181641,0.541274414,9.786049805
-0.234711914,0.45984375,9.901010742
-0.201181641,0.488583984,9.795629883
-0.234711914,0.464633789,9.829160156
-0.196391602,0.402363281,9.891430664
-0.225131836,0.431103516,9.829160156
-0.225131836,0.469423828,9.805209961
-0.191601563,0.517324219,9.786049805
-0.220341797,0.464633789,9.924960938
-0.201181641,0.502954102,9.872270508
-0.220341797,0.488583984,9.824370117
-0.182021484,0.469423828,9.857900391
-0.273032227,0.435893555,9.814790039
-0.234711914,0.40715332,9.771679688
