Measurement label:,Right,
Configuration date:,2018. 8. 2. 오후 1:55:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-4.349355469,-2.96503418,7.400610352
-3.333867188,-2.629731445,6.888076172
-5.230722656,-7.347919922,14.83475098
-4.229604492,-3.338657227,8.885522461
-4.057163086,-2.96503418,7.630532227
-4.378095703,-3.487148438,8.856782227
-4.057163086,-6.298901367,8.526269531
-4.818779297,-3.611689453,9.120234375
-4.536166992,-2.802172852,7.376660156
-5.2115625,-3.381767578,7.616162109
-5.57081543,-3.515888672,6.964716797
-5.973178711,-4.608017578,5.934858398
-6.155200195,-2.993774414,6.049819336
-5.446274414,-2.217788086,6.433022461
-5.388793945,-2.428549805,6.883286133
-5.039121094,-2.418969727,7.098837891
-5.307363281,-2.280058594,6.840175781
-5.403164063,-2.050136719,7.276069336
-5.436694336,-1.801054688,7.486831055
-5.484594727,-1.58550293,7.558681641
-5.795947266,-1.571132813,7.601791992
-5.566025391,-1.22625,7.300019531
-5.77199707,-1.178349609,7.323969727
-6.227050781,-0.790356445,7.165898438
-6.662944336,-0.330512695,7.644902344
-6.471342773,-0.009580078,7.141948242
-6.203100586,-0.062270508,6.739584961
-6.313271484,-0.3065625,6.710844727
-6.380332031,-0.009580078,6.868916016
-6.370751953,-0.158071289,6.835385742
-5.532495117,-0.091010742,7.175478516
-6.706054688,0.632285156,6.782695313
-6.79706543,0.316142578,6.557563477
-7.228168945,0.699345703,6.543193359
-6.830595703,0.479003906,6.730004883
-8.468789063,0.723295898,7.87003418
-7.012617188,0.162861328,6.600673828
-6.945556641,0.316142578,6.073769531
-7.534731445,0.699345703,6.025869141
-8.315507813,0.349672852,5.867797852
-9.484277344,0.35925293,5.561235352
-8.281977539,-0.196391602,5.604345703
-8.392148438,-0.067060547,5.096601563
-8.157436523,-0.105380859,5.019960938
-8.147856445,0.023950195,4.905
-8.349038086,-0.162861328,4.967270508
-8.741821289,0.25387207,5.197192383
-9.187294922,0.004790039,5.57081543
-8.823251953,0.05269043,4.928950195
-8.497529297,-0.177231445,4.660708008
-8.310717773,-0.292192383,4.54574707
-8.22449707,-0.316142578,4.272714844
-8.358618164,-0.263452148,4.282294922
-8.291557617,-0.162861328,4.215234375
-8.195756836,0.234711914,4.124223633
-9.417216797,-0.402363281,4.861889648
-9.244775391,-0.632285156,4.603227539
-8.899892578,-0.790356445,4.03800293
-8.190966797,-0.651445313,3.736230469
-8.262817383,-0.761616211,3.688330078
-8.32987793,-0.502954102,3.602109375
-8.957373047,-0.852626953,3.429667969
-9.35015625,-0.986748047,3.616479492
-9.216035156,-1.058598633,3.83203125
-9.752519531,-1.034648438,4.301455078
-9.647138672,-1.887275391,3.688330078
-6.442602539,-1.954335938,4.109853516
-12.87083496,-2.126777344,0.71371582
-8.976533203,-2.265688477,2.821333008
-9.086704102,-2.189047852,3.535048828
-8.622070313,-2.591411133,2.917133789
-8.871152344,-2.313588867,3.702700195
-8.076005859,-3.175795898,2.874023438
-8.411308594,-3.477568359,3.3721875
-8.598120117,-3.31949707,3.606899414
-8.492739258,-3.784130859,2.826123047
-8.186176758,-3.946992188,2.960244141
-7.592211914,-4.80440918,2.850073242
-7.424560547,-5.034331055,2.35190918
-7.654482422,-5.283413086,3.16621582
-7.15152832,-5.709726563,2.634521484
-7.026987305,-5.427114258,1.657353516
-7.079677734,-5.958808594,2.236948242
-7.338339844,-6.710844727,2.423759766
-6.648574219,-6.69168457,2.763852539
-6.251000977,-6.916816406,1.825004883
-7.060517578,-7.376660156,2.169887695
-6.974296875,-8.305927734,2.021396484
-6.916816406,-8.58375,1.58550293
-6.509663086,-8.152646484,1.896855469
-6.174360352,-7.438930664,0.661025391
-3.855981445,-8.334667969,0.886157227
-1.389111328,-10.58119629,-0.268242188
-4.813989258,-8.248447266,-0.263452148
-5.441484375,-7.549101563,-0.651445313
-4.402045898,-7.529941406,-0.335302734
-4.861889648,-7.180268555,0.684975586
-4.564907227,-8.334667969,0.411943359
-4.646337891,-9.129814453,0.143701172
-4.08590332,-9.675878906,0.364042969
-2.984194336,-9.546547852,0.431103516
-3.506308594,-9.091494141,-1.049018555
-3.511098633,-8.938212891,-1.12565918
-3.343447266,-8.717871094,-1.365161133
-4.19128418,-7.707172852,-2.395019531
-3.386557617,-8.540639648,-1.935175781
-3.994892578,-8.540639648,-1.978286133
-3.803291016,-9.340576172,-1.89206543
-3.530258789,-9.244775391,-1.858535156
-3.453618164,-9.129814453,-2.308798828
-3.132685547,-8.938212891,-2.19862793
-3.21890625,-8.83762207,-2.030976563
-3.444038086,-8.555009766,-1.743574219
-3.060834961,-8.650810547,-2.409389648
-2.835703125,-8.775351563,-2.466870117
-3.075205078,-9.498647461,-2.60578125
-3.070415039,-9.613608398,-2.60578125
-3.396137695,-9.661508789,-2.481240234
-2.806962891,-8.981323242,-2.548300781
-2.677631836,-8.569379883,-3.108735352
-2.423759766,-8.559799805,-3.199746094
-2.208208008,-8.660390625,-3.429667969
-2.227368164,-8.847202148,-3.544628906
-2.418969727,-8.914262695,-3.113525391
-2.347119141,-8.804091797,-3.228486328
-2.600991211,-9.441166992,-2.998564453
-1.949545898,-9.254355469,-3.659589844
-2.078876953,-8.895102539,-3.860771484
-2.323168945,-9.45074707,-3.83203125
-1.954335938,-9.675878906,-3.726650391
-2.126777344,-9.115444336,-3.764970703
